store,item,lead_time_days,target_service_level,expected_lead_time_demand,safety_stock,p95_lead_time_demand,on_hand,reorder_point,eoq,min_level,max_level,needs_reorder,suggested_order_qty
1,1,7,0.95,121.85063314313894,19.490245470023865,141.3408786131628,139.25786644930164,141.3408786131628,563.6328661792793,141.3408786131628,704.9737447924421,True,565.7158783431404
1,2,7,0.95,333.72985709846483,33.4408241669679,367.17068126543273,1668.6492854923242,367.17068126543273,932.781546317019,367.17068126543273,1299.9522275824518,False,0.0
1,3,7,0.95,201.203890850175,25.44606948477761,226.6499603349526,891.0458023364893,226.6499603349526,724.2701753209121,226.6499603349526,950.9201356558647,False,0.0
1,4,7,0.95,122.52352272233931,19.85111026077108,142.3746329831104,385.07392855592354,142.3746329831104,565.1869841897702,142.3746329831104,707.5616171728806,False,0.0
1,5,7,0.95,103.66864263438742,17.240941548532362,120.90958418291979,325.8157339937891,120.90958418291979,519.8836034671017,120.90958418291979,640.7931876500215,False,0.0
1,6,7,0.95,325.89170528651454,33.28316618921377,359.1748714757283,1815.6823580248667,359.1748714757283,921.7625679315913,359.1748714757283,1280.9374394073197,False,0.0
1,7,7,0.95,311.355909763294,33.74683764079509,345.1027474040891,355.8353254437646,345.1027474040891,900.9713292711306,345.1027474040891,1246.0740766752197,False,0.0
1,8,7,0.95,433.2477502124584,38.89150774430624,472.13925795676465,1980.5611438283813,472.13925795676465,1062.7976182414145,472.13925795676465,1534.936876198179,False,0.0
1,9,7,0.95,265.7428707274508,31.546468738696547,297.28933946614734,493.5224742081229,297.28933946614734,832.3638791140032,297.28933946614734,1129.6532185801507,False,0.0
1,10,7,0.95,418.72655701822396,38.58823761172175,457.3147946299457,478.5446365922559,457.3147946299457,1044.8348923280098,457.3147946299457,1502.1496869579555,False,0.0
1,11,7,0.95,392.5269247543638,37.054592153083036,429.5815169074468,1457.957149087637,429.5815169074468,1011.6193790698118,429.5815169074468,1441.2008959772586,False,0.0
1,12,7,0.95,386.1265776375147,36.65544353539775,422.78202117291244,2427.081345150092,422.78202117291244,1003.3380032873584,422.78202117291244,1426.120024460271,False,0.0
1,13,7,0.95,453.43864855114464,39.930097014105854,493.3687455652505,2202.4162929627028,493.3687455652505,1087.2807060380621,493.3687455652505,1580.6494516033126,False,0.0
1,14,7,0.95,325.2689810456891,33.315500841409744,358.58448188709883,1626.3449052284454,358.58448188709883,920.8814802043767,358.58448188709883,1279.4659620914754,False,0.0
1,15,7,0.95,501.90484655729244,42.68684752646584,544.5916940837583,2366.1228480558075,544.5916940837583,1143.913299016681,544.5916940837583,1688.5049931004394,False,0.0
1,16,7,0.95,139.24489220290928,21.402495789800497,160.64738799270978,716.1165884721049,160.64738799270978,602.520809682489,160.64738799270978,763.1681976751988,False,0.0
1,17,7,0.95,179.20535104630508,23.780765632448407,202.9861166787535,640.0191108796611,202.9861166787535,683.5305047634323,202.9861166787535,886.5166214421859,False,0.0
1,18,7,0.95,471.1032558386092,40.75997344177068,511.86322928037987,673.0046511980131,511.86322928037987,1108.2569595704663,511.86322928037987,1620.1201888508463,False,0.0
1,19,7,0.95,227.35442218244384,28.262433602370066,255.6168557848139,1234.2097204189809,255.6168557848139,769.8996414032156,255.6168557848139,1025.5164971880295,False,0.0
1,20,7,0.95,262.2416182453501,29.42505150882488,291.66666975417496,861.6510313775789,291.66666975417496,826.8623596790148,291.66666975417496,1118.5290294331899,False,0.0
1,21,7,0.95,223.97706542375803,27.163235785013597,251.14030120877163,799.9180907991358,251.14030120877163,764.1598041531425,251.14030120877163,1015.3001053619141,False,0.0
1,22,7,0.95,453.4615768292751,40.19444409713441,493.6560209264095,1230.8242799651753,493.6560209264095,1087.3081950482951,493.6560209264095,1580.9642159747045,False,0.0
1,23,7,0.95,168.66866725603145,23.217870690153376,191.88653794618483,289.1462867246254,191.88653794618483,663.1314432752889,191.88653794618483,855.0179812214737,False,0.0
1,24,7,0.95,351.3897035490996,36.7837235884781,388.1734271375777,2108.3382212945976,388.1734271375777,957.1432263154669,388.1734271375777,1345.3166534530446,False,0.0
