service_level,safety_stock,store,item
0.8,10.046997708644668,1,1
0.85,12.332923795690434,1,1
0.9,15.407615058542731,1,1
0.95,19.83906494142964,1,1
0.975,23.47974147097905,1,1
0.99,27.442648683661574,1,1
0.8,17.22532156199742,1,2
0.85,21.193042573434695,1,2
0.9,26.442878534773854,1,2
0.95,33.97110933513983,1,2
0.975,40.31572757559496,1,2
0.99,47.169322482230086,1,2
0.8,13.121019376091994,1,3
0.85,16.19541956759275,1,3
0.9,20.066840369037664,1,3
0.95,26.044254073380756,1,3
0.975,30.79057813855124,1,3
0.99,35.79943674751374,1,3
0.8,10.135912284166167,1,4
0.85,12.563644665974536,1,4
0.9,15.648568964389185,1,4
0.95,20.216371959107292,1,4
0.975,23.856290561250105,1,4
0.99,27.679431624898783,1,4
0.8,8.856736165909524,1,5
0.85,10.970332002154848,1,5
0.9,13.634762517980974,1,5
0.95,17.67108589870594,1,5
0.975,20.956048197090695,1,5
0.99,24.344541437314632,1,5
0.8,17.029369828757183,1,6
0.85,21.071058141798233,1,6
0.9,26.328982101899555,1,6
0.95,33.767264648634864,1,6
0.975,40.035025487197174,1,6
0.99,46.48722999288037,1,6
0.8,17.1349425142634,1,7
0.85,21.343629325071674,1,7
0.9,26.585919938179586,1,7
0.95,34.19470355091846,1,7
0.975,40.604033638520605,1,7
0.99,47.64820115122308,1,7
0.8,19.77335578185091,1,8
0.85,24.536106299271125,1,8
0.9,30.57896578119761,1,8
0.95,39.72374745162392,1,8
0.975,46.96187653711962,1,8
0.99,54.75864889184646,1,8
0.8,16.085873152689203,1,9
0.85,19.916295185835793,1,9
0.9,24.940169662475796,1,9
0.95,32.13003256594163,1,9
0.975,37.75890613287373,1,9
0.99,43.93823147520038,1,9
0.8,19.899705767010516,1,10
0.85,24.31259242651521,1,10
0.9,30.422856475662343,1,10
0.95,39.352778360245225,1,10
0.975,46.64005540656444,1,10
0.99,54.27568158760215,1,10
0.8,18.683031833170276,1,11
0.85,23.409511446532804,1,11
0.9,29.115551536227713,1,11
0.95,37.76488283059143,1,11
0.975,44.62677080269896,1,11
0.99,51.91364057653715,1,11
0.8,18.722733927925844,1,12
0.85,23.113692320996222,1,12
0.9,28.828660864591654,1,12
0.95,37.35422162507285,1,12
0.975,44.275388896583934,1,12
0.99,51.57544307072061,1,12
0.8,20.554635321411865,1,13
0.85,25.271897611728207,1,13
0.9,31.629573589053052,1,13
0.95,40.6955237465732,1,13
0.975,48.48151489087019,1,13
0.99,56.833111128302335,1,13
0.8,17.171900723602278,1,14
0.85,21.103436828580243,1,14
0.9,26.369078028751858,1,14
0.95,34.03841929717191,1,14
0.975,40.295231115908166,1,14
0.99,46.94471884678023,1,14
0.8,21.78485395041764,1,15
0.85,26.943964307691203,1,15
0.9,33.52256814648979,1,15
0.95,43.354977126518975,1,15
0.975,51.417177842762044,1,15
0.99,60.41100939752994,1,15
0.8,10.910869161383232,1,16
0.85,13.525513418119601,1,16
0.9,16.89133352465194,1,16
0.95,21.79366758911962,1,16
0.975,25.824151065558624,1,16
0.99,30.301150973845836,1,16
0.8,12.139538163131618,1,17
0.85,15.179528788033934,1,17
0.9,18.773161685447775,1,17
0.95,24.30603616098739,1,17
0.975,28.97780750115072,1,17
0.99,33.61735002883546,1,17
0.8,20.805891053024197,1,18
0.85,25.725781059003282,1,18
0.9,32.09656941829064,1,18
0.95,41.340651324775706,1,18
0.975,49.209623543737905,1,18
0.99,57.36172266784155,1,18
0.8,14.50547209455172,1,19
0.85,17.943910761309695,1,19
0.9,22.365218576323656,1,19
0.95,28.896963479839513,1,19
0.975,34.12441904850809,1,19
0.99,39.749671405479745,1,19
0.8,15.151078424297793,1,20
0.85,18.585160880889305,1,20
0.9,23.09923317652948,1,20
0.95,30.1454374270798,1,20
0.975,35.47484275625595,1,20
0.99,41.57354923453954,1,20
0.8,13.980140347726007,1,21
0.85,17.205466227460306,1,21
0.9,21.434458294400144,1,21
0.95,27.745858579432337,1,21
0.975,32.70245129325613,1,21
0.99,38.10458389492092,1,21
0.8,20.427262908154887,1,22
0.85,25.570817539523205,1,22
0.9,31.63626392880218,1,22
0.95,40.950253144521696,1,22
0.975,48.323197449293446,1,22
0.99,56.03386841808265,1,22
0.8,11.806548903316383,1,23
0.85,14.753413552891033,1,23
0.9,18.394730336761853,1,23
0.95,23.77834730008948,1,23
0.975,28.00978988644806,1,23
0.99,32.63519934052408,1,23
0.8,18.597621194629824,1,24
0.85,23.324430430437133,1,24
0.9,28.89843100733185,1,24
0.95,37.25105629250464,1,24
0.975,44.38501027820348,1,24
0.99,51.55461126810479,1,24
0.8,19.851218141165873,1,25
0.85,24.45250436412141,1,25
0.9,30.585758967557126,1,25
0.95,39.45231666487024,1,25
0.975,46.389730344005216,1,25
0.99,54.47923542105957,1,25
0.8,15.2664902310824,1,26
0.85,18.904078865265376,1,26
0.9,23.521553478554267,1,26
0.95,30.494313537895493,1,26
0.975,36.23276198997797,1,26
0.99,42.364139598626934,1,26
0.8,10.069153455711074,1,27
0.85,12.315173573473174,1,27
0.9,15.379499857197146,1,27
0.95,19.79213299767244,1,27
0.975,23.578484865443215,1,27
0.99,27.359032538028913,1,27
0.8,22.103443540857825,1,28
0.85,27.279384227088485,1,28
0.9,34.03790876104415,1,28
0.95,43.99817372433233,1,28
0.975,52.111421859922416,1,28
0.99,60.973318731067366,1,28
0.8,18.120614432063178,1,29
0.85,22.368385449754953,1,29
0.9,27.998352180643963,1,29
0.95,35.96929925906733,1,29
0.975,42.8505219845041,1,29
0.99,49.859252804914945,1,29
0.8,13.750289491144486,1,30
0.85,17.168901427220476,1,30
0.9,21.511350613371036,1,30
0.95,27.72019567210498,1,30
0.975,32.86699344936417,1,30
0.99,38.61040085330242,1,30
0.8,16.89996122002634,1,31
0.85,21.052677425784623,1,31
0.9,26.148392035470977,1,31
0.95,33.80127424501637,1,31
0.975,40.32134830516685,1,31
0.99,46.661780964103116,1,31
0.8,15.054948249902935,1,32
0.85,18.395437216984163,1,32
0.9,23.135196386727756,1,32
0.95,29.735035593792162,1,32
0.975,35.421949498424766,1,32
0.99,41.29616565612841,1,32
0.8,18.402237786004036,1,33
0.85,22.703966816696607,1,33
0.9,28.538811598959512,1,33
0.95,37.1047225682093,1,33
0.975,43.691540118769126,1,33
0.99,50.65701210345003,1,33
0.8,10.638399633175368,1,34
0.85,13.073901473432358,1,34
0.9,16.329677122822147,1,34
0.95,21.08711384270589,1,34
0.975,25.047012338667514,1,34
0.99,29.172777620966286,1,34
0.8,18.227308675912695,1,35
0.85,22.560313312909216,1,35
0.9,28.049557322431554,1,35
0.95,36.28491065513896,1,35
0.975,43.17033983785166,1,35
0.99,50.139492710769616,1,35
0.8,19.26278297291219,1,36
0.85,23.816482840226627,1,36
0.9,29.692884026750846,1,36
0.95,38.164509666378876,1,36
0.975,45.27067890526803,1,36
0.99,52.62930090866479,1,36
0.8,12.026748895517784,1,37
0.85,14.828961695461572,1,37
0.9,18.453556729830467,1,37
0.95,23.81893202754935,1,37
0.975,28.151249689983445,1,37
0.99,32.90027459000609,1,37
0.8,20.75966885280735,1,38
0.85,25.681559098168293,1,38
0.9,31.912862513406196,1,38
0.95,41.238080985109605,1,38
0.975,49.11615349158842,1,38
0.99,56.97564086097452,1,38
0.8,14.906730732743966,1,39
0.85,18.38118578477264,1,39
0.9,22.883826953054438,1,39
0.95,29.432930394656637,1,39
0.975,34.941368662203104,1,39
0.99,40.87308530251187,1,39
0.8,11.27836014462963,1,40
0.85,14.022078378318128,1,40
0.9,17.440539952519742,1,40
0.95,22.51944851760311,1,40
0.975,26.75560942449016,1,40
0.99,31.01506885317383,1,40
0.8,9.991176418682443,1,41
0.85,12.394664083887164,1,41
0.9,15.426608952787035,1,41
0.95,19.943155834754663,1,41
0.975,23.623353065114884,1,41
0.99,27.651270858722114,1,41
0.8,12.68160482665661,1,42
0.85,15.735865596301153,1,42
0.9,19.58549052149155,1,42
0.95,25.22929986606175,1,42
0.975,29.98839120489592,1,42
0.99,34.63552579375849,1,42
0.8,15.67860106089364,1,43
0.85,19.341469440053004,1,43
0.9,24.21529220958297,1,43
0.95,31.030262415185632,1,43
0.975,36.772053671577225,1,43
0.99,42.63589321079928,1,43
0.8,11.53305294228852,1,44
0.85,14.393948645888543,1,44
0.9,17.921376168931744,1,44
0.95,23.104518432467103,1,44
0.975,27.660335209154056,1,44
0.99,31.968760806174146,1,44
0.8,19.826193068858117,1,45
0.85,24.68565645470693,1,45
0.9,30.707780182180784,1,45
0.95,39.51944102335921,1,45
0.975,46.805593568565826,1,45
0.99,54.70944189755522,1,45
0.8,17.434069783280336,1,46
0.85,21.40160308046501,1,46
0.9,26.74123287789115,1,46
0.95,34.468392570273636,1,46
0.975,41.03167471040331,1,46
0.99,47.79627601361983,1,46
0.8,9.736887834119443,1,47
0.85,12.159878757201568,1,47
0.9,15.139704117177132,1,47
0.95,19.539410015666277,1,47
0.975,23.233678844006448,1,47
0.99,26.934025206338106,1,47
0.8,15.700479279142542,1,48
0.85,19.439839570919162,1,48
0.9,24.379776505486973,1,48
0.95,31.27813714429027,1,48
0.975,37.17951685789711,1,48
0.99,43.242302828449624,1,48
0.8,11.40560352489183,1,49
0.85,14.116578061688216,1,49
0.9,17.763764433981407,1,49
0.95,23.032090375291403,1,49
0.975,27.208822229558166,1,49
0.99,31.519799409730012,1,49
0.8,18.131770779409464,1,50
0.85,22.6615599246648,1,50
0.9,28.235773725555134,1,50
